industry,mean_esg,max_esg,min_esg,mean_risk,max_risk,min_risk
AIR Airlines,52.075416,52.075416,52.075416,45.0,45.0,45.0
ATX Auto Components,4.341426500000001,4.744532,3.938321,47.0,59.0,35.0
BNK Banks,67.83357118181817,86.580382,2.031579,36.81818181818182,47.0,32.0
BVG Beverages,43.998445,43.998445,43.998445,50.0,50.0,50.0
CHM Chemicals,35.9315905,69.987918,1.875263,49.0,53.0,45.0
COS Personal Products,75.033875,75.033875,75.033875,45.0,45.0,45.0
CSV Diversified Consumer Services,8.5931355,14.154351,3.03192,47.0,49.0,45.0
CTR Containers & Packaging,71.305685,71.305685,71.305685,32.0,32.0,32.0
ELC Electric Utilities,29.39606926666666,83.630665,0.970875,37.2,49.0,26.0
ELQ Electrical Components & Equipment,51.082473,51.082473,51.082473,59.0,59.0,59.0
FBN Diversified Financial Services and Capital Markets,24.526218,24.526218,24.526218,45.0,45.0,45.0
FDR Food & Staples Retailing,4.997379333333333,13.217526,0.168,45.333333333333336,47.0,44.0
FOA Food Products,18.249450857142858,55.391265,0.776842,48.0,53.0,36.0
FRP Paper & Forest Products,71.186884,71.186884,71.186884,37.0,37.0,37.0
HEA Health Care Providers & Services,18.767580600000002,60.32703,0.772403,44.4,45.0,43.0
HOM Homebuilding,7.341259999999998,28.856786,0.206222,41.57142857142857,47.0,33.0
ICS Commercial Services & Supplies,6.948449,6.948449,6.948449,51.0,51.0,51.0
IEQ Machinery and Electrical Equipment,8.768060666666667,13.595982,5.1954,48.0,53.0,45.0
INS Insurance,21.275946400000002,63.057992,3.312335,45.8,49.0,44.0
MUW Multi and Water Utilities,8.600897,14.441344,3.725725,44.333333333333336,45.0,44.0
OGR Oil & Gas Refining & Marketing,52.260846,52.260846,52.260846,45.0,45.0,45.0
OGX Oil & Gas Upstream & Integrated,28.616894666666667,67.572915,6.298253,41.666666666666664,44.0,38.0
PIP Oil & Gas Storage & Transportation,25.389079,25.389079,25.389079,45.0,45.0,45.0
REA Real Estate,9.6525904,23.920093,1.992534,37.6,45.0,34.0
REX Restaurants & Leisure Facilities,3.939268,4.459971,3.418565,49.0,53.0,45.0
RTS Retailing,36.828362999999996,65.130291,5.471121,41.625,46.0,23.0
SOF Software,14.195753,14.195753,14.195753,47.0,47.0,47.0
STL Steel,18.117048285714283,62.936918,0.648,38.714285714285715,50.0,29.0
TCD Trading Companies & Distributors,9.0409,9.0409,9.0409,49.0,49.0,49.0
"TEX Textiles, Apparel & Luxury Goods",6.359064333333333,13.322743,0.637,45.666666666666664,47.0,45.0
TLS Telecommunication Services,67.11499233333333,77.031882,61.58885,47.666666666666664,49.0,45.0
TRA Transportation and Transportation Infrastructure,23.2581124,37.505938,10.499379,42.4,45.0,32.0
TSV IT services,70.634015,70.634015,70.634015,46.0,46.0,46.0
